positive_class,true_negatives,false_positives,false_negatives,true_positives,example_count,accuracy_score,recall_score,precision_score,f1_score,roc_auc,precision_recall_auc
ARP_poisioning,22942,19,14,1550,24525,0.9986544342507645,0.9910485933503836,0.9878903760356915,0.989466964570699,0.9999379716590493,0.9989697546810304
DDOS_Slowloris,24413,1,1,110,24525,0.9999184505606524,0.990990990990991,0.990990990990991,0.990990990990991,0.9999178952853076,0.9939149675991782
DOS_SYN_Hping,5724,0,0,18801,24525,1.0,1.0,1.0,1.0,0.9999999999999999,1.0
MQTT_Publish,23687,0,0,838,24525,1.0,1.0,1.0,1.0,1.0000000000000002,1.0
NMAP_OS_DETECTION,24126,0,0,399,24525,1.0,1.0,1.0,1.0,0.9999999999999999,0.9999999999999999
NMAP_TCP_scan,24315,0,0,210,24525,1.0,1.0,1.0,1.0,1.0,0.9999999999999999
NMAP_UDP_SCAN,24008,0,9,508,24525,0.9996330275229358,0.9825918762088974,1.0,0.9912195121951219,0.9998358058596843,0.9967042269938835
NMAP_XMAS_TREE_SCAN,24130,0,2,393,24525,0.9999184505606524,0.9949367088607595,1.0,0.9974619289340101,0.9999759740225678,0.9989034988931855
Thing_Speak,22864,19,11,1631,24525,0.998776758409786,0.9933008526187577,0.9884848484848485,0.9908869987849332,0.9999799328714629,0.9997123991683373
Wipro_bulb,24477,0,2,46,24525,0.9999184505606524,0.9583333333333334,1.0,0.9787234042553191,0.9999991488608354,0.9995748299319729
