positive_class,true_negatives,false_positives,false_negatives,true_positives,example_count,accuracy_score,recall_score,precision_score,f1_score,roc_auc,precision_recall_auc
ARP_poisioning,18631,407,294,1855,21187,0.9669136734790201,0.8631921824104235,0.8200707338638373,0.841079120380866,0.989937442838601,0.9198143438633659
DDOS_Slowloris,18711,289,290,1897,21187,0.9726719214612735,0.8673982624599909,0.8677950594693504,0.867596615595701,0.9921786152624359,0.9512116993416906
DOS_SYN_Hping,18903,95,48,2141,21187,0.9932505781847359,0.9780721790772042,0.9575134168157424,0.967683615819209,0.9990280047270971,0.9950107399468212
MQTT_Publish,18860,178,142,2007,21187,0.9848963987350734,0.9339227547696604,0.9185354691075515,0.9261652053530226,0.9973275266224427,0.9812605852534898
NMAP_OS_DETECTION,18716,400,284,1787,21187,0.9677160522962194,0.8628681796233704,0.8171010516689529,0.8393612024424613,0.9899961696659163,0.9236900285485639
NMAP_TCP_scan,18865,246,264,1812,21187,0.9759286354840232,0.8728323699421965,0.880466472303207,0.8766328011611031,0.9925957107493601,0.953772173789471
NMAP_UDP_SCAN,18788,244,244,1911,21187,0.9769670080709869,0.8867749419953597,0.8867749419953597,0.8867749419953597,0.9935625089603637,0.9575338814933472
NMAP_XMAS_TREE_SCAN,18975,110,219,1883,21187,0.9844716099494973,0.89581351094196,0.9448068238835926,0.9196581196581197,0.9955478109224919,0.9730144152302842
Thing_Speak,18761,335,347,1744,21187,0.9678104498041251,0.834050693448111,0.8388648388648389,0.8364508393285371,0.9879761038239772,0.9237171864572027
Wipro_bulb,19097,72,244,1774,21187,0.985085193750885,0.8790882061446977,0.9609967497291441,0.9182194616977225,0.9926757311382078,0.964846581624268
